executive_order_number,title,signing_date,disposition_notes
10753.0,Designation of Certain Officers of the Department of the Interior To Act as Secretary of the Interior,"February 15, 1958","Federal Register page and date: 23 FR 1107, February 20, 1958
Supersedes: EO 10156, August 26, 1950
Superseded by: EO 11487, October 6,
      1969"
10752.0,"Designating the Secretary of the Interior To Execute Certain Powers and Functions Vested in the President by the Act of February 22, 1935, 49 Stat. 30, as Amended","February 12, 1958","Federal Register page and date: 23 FR 973, February 14, 1958
Supersedes:
      
      EO 6979, February 28, 1935; EO 7756, December
      1, 1937; EO 9732, June 3, 1946; EO
      10250, June 5, 1951 (in part)"
10751.0,"Amendment of   10127, Establishing Airspace Reservations Over Certain Facilities of the United States Atomic Energy Commission","February 11, 1958","Federal Register page and date: 23 FR 939, February 13, 1958
Amends: EO 10127, May 23, 1950
Revoked by: Federal Aviation Agency regulations of September 21, 1961 (Airspace Docket No. 61-WA-152) (26 FR 8883)"
10750.0,"Creating an Emergency Board To Investigate a Dispute Between the Eastern Air Lines, Inc., and Certain of its Employees","January 28, 1958","Federal Register page and date: 23 FR 613, January 30, 1958
Revoked by: EO 12553, February 25, 1986"
10749.0,"Creating an Emergency Board To Investigate a Dispute Between the Eastern Air Lines, Inc., and Certain of its Employees","January 21, 1958","Federal Register page and date: 23 FR 427, January 23, 1958
Revoked by: EO 12553, February 25, 1986"
10748.0,Appointing the Honorable Edward I. P. Tatelman To Act as Special Judge of the United States District Court for the District of the Canal Zone in a Certain Case,"January 1, 1958","Federal Register page and date: 23 FR 83, January 4, 1958"
10747.0,Designating the Secretary of State To Act for the United States in Certain Matters Pertaining to Japanese War Criminals,"December 31, 1957","Federal Register page and date: 23 FR 43, January 3, 1958
Revokes: EO 10393, September 4, 1952; EO
      10613, May 16, 1955"
10746.0,"Further Providing for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","December 12, 1957","Federal Register page and date: 22 FR 10027, December 14, 1957
Amends: EO 10560, September 9, 1954
Superseded by: EO 10900, January
      5, 1961
Revoked by: EO 12220, June 27, 1980"
10745.0,"Amendment of Section 203 of   10577 of November 22, 1954, as Amended, Providing for the Conversion of Certain Career-Conditional Appointments to Career Appointments","December 12, 1957","Federal Register page and date: 22 FR 10025, December 14, 1957
Amends: EO 10577, November 22, 1954
See: EO 10675, August 21, 1956"
10744.0,"Excusing Federal Employees From Duty for One-Half Day on December 24, and One-Half Day on December 31, 1957","December 10, 1957","Federal Register page and date: 22 FR 10001, December 13, 1957
See: EO 10358, June 9, 1952"
10743.0,Sale of Vessels of the Navy,"December 10, 1957","Federal Register page and date: 22 FR 10001, December 13, 1957
Supersedes: EO 9986, August 16, 1948
Superseded by: EO 10885, August 31, 1960"
10742.0,Further Providing for the Administration of Foreign-Aid Functions,"November 29, 1957","Federal Register page and date: 22 FR 9689, December 4, 1957
Amends: EO 10575, November 6, 1954; EO
      10610, May 9, 1955
Superseded by: EO 10893, November 8, 1960
See: EO 10822, May 20, 1959"
10741.0,Establishing the Trade Policy Committee,"November 25, 1957","Federal Register page and date: 22 FR 9451, November 27, 1957
Amends: EO 10082, October 5, 1949
Revoked by: EO 11075, January 15,
      1963
See: EO 10401, October 14, 1952"
10740.0,Change in the Membership of the President's Council on Youth Fitness,"November 21, 1957","Federal Register page and date: 22 FR 9379, November 23, 1957
Amends: EO 10673, July 16, 1956
Revoked by: EO 10931, March 29,
      1961
See: EO 10785, October 17, 1958"
10739.0,"Amendment of   10152, Prescribing Regulations Relating to Incentive Pay for the Performance of Hazardous Duty by Members of the Uniformed Services","November 15, 1957","Federal Register page and date: 22 FR 9205, November 19, 1957
Amends: EO 10152, August 17, 1950
Revoked by: EO 11157, June 22, 1964"
10738.0,Inspection of Estate and Gift Tax Returns by State Tax Officials,"November 15, 1957","Federal Register page and date: 22 FR 9205, November 19, 1957
Superseded by: EO 10906, January
      17, 1961 (in part); EO 10954, July
      26, 1961
Revoked by: EO 12553, February 25, 1986"
10737.0,Further Providing for the Administration of Disaster Relief,"October 29, 1957","Federal Register page and date: 22 FR 8799, November 1, 1957
Amends: EO 10427, January 16, 1953
Amended by: EO 10773, July 1, 1958; EO
      11051, September 27, 1962
Revoked by: EO 11575, December 31, 1970"
10736.0,Adopting an Official Seal for the Department of the Navy,"October 23, 1957","Federal Register page and date: 22 FR 8411, October 25, 1957"
10735.0,Amending the Selective Service Regulations,"October 17, 1957","Federal Register page and date: 22 FR 8275, October 22, 2957
Amends: EO 10001, September 17, 1948; EO
      10167, October 11, 1950; EO 10292, September
      25, 1951; EO 10420, December 17, 1952; EO
      10505, December 10, 1953; EO 10659, February
      15, 1956; EO 10714, June 13, 1957
Amended by: EO 10984, January 5,
      1962; EO 11098, March 14, 1963; EO
      11119, September 10, 1963; EO 11241, August
      26, 1965; EO 11360, June 30, 1967; EO
      11497, November 26, 1969; EO 11527, April
      23, 1970; EO 11537, June 16, 1970; EO
      11563, September 26, 1970; EO 11606, July
      10, 1971
Revoked by: EO 12553, February 25, 1986"
10734.0,"Amendment of   10657, Relating to the Transfer to the Housing and Home Finance Administrator of Certain Functions Under the Atomic Energy Community Act of 1955","October 17, 1957","Federal Register page and date: 22 FR 8275, October 22, 1957
Amends: EO 10657, February 14, 1956
Revoked by: EO 12553, February 25, 1986"
10733.0,Providing for an Additional Member and for an Executive Vice Chairman of the Government Contract Committee,"October 10, 1957","Federal Register page and date: 22 FR 8135, October 15, 1957
Amends: EO 10479, August 13,
      1953
Revoked by: EO 10925, March 6, 1961"
10732.0,"Amendment of   10250, Providing for the Performance of Certain Functions of the President by the Secretary of the Interior","October 10, 1957","Federal Register page and date: 22 FR 8135, October 15, 1957
Amends: EO 10250, June 5, 1951"
10731.0,"Delegating to the Director of the Bureau of the Budget the Authority of the President To Transfer Certain Records, Property, and Personnel","October 10, 1957","Federal Register page and date: 22 FR 8135, October 15, 1957
Revoked by: EO 10797, December 24, 1958"
10730.0,Providing Assistance for the Removal of an Obstruction of Justice Within the State of Arkansas,"September 24, 1957","Federal Register page and date: 22 FR 7628, September 25, 1957
See: Department of Defense notice of October 25, 1957 (22 FR 8423)"
10729.0,Special Assistant to the President for Personnel Management,"September 16, 1957","Federal Register page and date: 22 FR 7447, September 19, 1957
Revokes: EO 10452, May 1, 1953
Revoked by: EO 11205, March 15, 1965"
10728.0,Establishing the President's Committee on Fund-Raising Within the Federal Service,"September 6, 1957","Federal Register page and date: 22 FR 7219, September 11, 1957
Revoked by: EO 10927, March 18,
      1961"
10727.0,"Designating the Preparatory Commission of the International Atomic Energy Agency, the International Atomic Energy Agency, and the Universal Postal Union as Public Internation Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","August 31, 1957","Federal Register page and date: 22 FR 7099, September 5, 1957"
10726.0,Suspension of Compliance With Certain Statutory Provisions Relating to Employment in the Canal Zone,"August 16, 1957","Federal Register page and date: 22 FR 6641, August 20, 1957"
10725.0,"Suspension of the Provision of Section 5751(b) of Title 10, United States Code, Which Relates to Officers of the Marine Corps of the Grade of Captain","August 16, 1957","Federal Register page and date: 22 FR 6641, August 20, 1957
Supersedes: EO 10546, July 16, 1954
Note: See Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601), which terminates, effective September 14, 1978, all powers and authorities, except those expressly cited, possessed by the President and/or other Federal officials as a result of any declaration of a national emergency in effect on September 14, 1976."
10724.0,Establishing a Career Executive Committee,"August 12, 1957","Federal Register page and date: 22 FR 6479, August 14, 1957
Revoked by: EO 10758, March 4, 1958"
10723.0,"Creating an Emergency Board To Investigate a Dispute Between the General Managers' Association of New York Representing the New York Central Railroad, New York Central Railroad Company, Brooklyn Eastern District Terminal, Jay Street Connecting Railroad, New York Dock Railway, Bush Terminal Railroad, Baltimore & Ohio Railroad Company, the Pennsylvania Railroad, Erie Railroad Company, Reading Company, Delaware, Lackawanna & Western Railroad, and the Central Railroad Company of New","August 6, 1957","Federal Register page and date: 22 FR 6319, August 8, 1957
Revoked by: EO 12553, February 25, 1986"
10722.0,"Amendment of   10590, Establishing the President's Committee on Government Employment Policy","August 5, 1957","Federal Register page and date: 22 FR 6287, August 7, 1957
Amends: EO 10590, January 18, 1955
Superseded by: EO 11246, September 24, 1965
Note: EO 10722 was nullified when the Committee was abolished by EO
      10925, March 6, 1961."
10721.0,The Honorable Walter F. George,"August 5, 1957","Federal Register page and date: 22 FR 6271, August 6, 1957"
10720.0,"Amendment of   10678, Placing Certain Matters Under the Administration or Jurisdiction of the Federal Facilities Corporation","July 11, 1957","Federal Register page and date: 22 FR 5521, July 13, 1957
Amends: EO 10678, September 20, 1956"
10719.0,Restoring Certain Lands of the Schofield Barracks Military Reservation to the Jurisdiction of the Territory of Hawaii,"July 3, 1957","Federal Register page and date: 22 FR 4743, July 6, 1957
Amends: EO of July 20, 1899
See: EO 2800, February 4, 1918"
10718.0,"Delegating to the Secretary of State Authority To Prescribe the Rates or Tariffs of Fees for Official Services at United States Embassies, Legations, and Consulates","June 27, 1957","Federal Register page and date: 22 FR 4632, July 2, 1957"
10717.0,The President's Award for Distinguished Federal Civilian Service,"June 27, 1957","Federal Register page and date: 22 FR 4632, July 2, 1957
Amended by: EO 10979, December 12,
      1961; EO 11085, February 22, 1963;
      EO 12014, October 19, 1977; EO
      12107, December 28, 1978"
10716.0,Administration of the International Cultural Exchange and Trade Fair Participation Act of 1956,"June 17, 1957","Federal Register page and date: 22 FR 4345, June 20, 1957
Amends: EO 10575, November 6, 1954
Supersedes: Letters of the President to the Director of the U.S. Information Agency of August 16, 1955, (22 FR 101) and August 21, 1956 (22 FR 102); Letter of the President to the Secretary of State of December 27, 1956 (22 FR 103)
Amended by: EO 10912, January
      18, 1961
Superseded by: EO 11034, June 25, 1962"
10715.0,"Revoking   9775 of September 3, 1946","June 17, 1957","Federal Register page and date: 22 FR 4313, June 19, 1957
Revokes: EO 9775, September 3, 1946
Note: The Federal Committee on Highway Safety is abolished."
10714.0,Amending the Selective Service Regulations,"June 13, 1957","Federal Register page and date: 22 FR 4273, June 18, 1957
Amends: EO 9988, August 20, 1948; EO
      10001, September 17, 1948; EO 10116, March
      9, 1950; EO 10167, October 11, 1950; EO
      10292, September 25, 1951; EO 10363, June
      17, 1952; EO 10594, January 31, 1955; EO
      10650, January 6, 1956
Amended by: EO 10809, March 19, 1959; EO
      10837, September 14, 1959; EO 10984,
      January 5, 1962; EO 11098, March 14,
      1963; EO 11188, November 17, 1964; EO
      11350, May 3, 1967; EO 11360, June 30,
      1967; EO 11586, March 10, 1971
Revoked by: EO 12553, February 25, 1986"
10713.0,Providing for the Administration of the Ryukyu Islands,"June 5, 1957","Federal Register page and date: 22 FR 4007, June 7, 1957
Amended by: EO 11010, March 19, 1962; EO
      11263, December 20, 1965; EO 11395, January
      31, 1968; EO 11618, September 10, 1971 Nullified
      by: Treaty on May 15, 1972, TIAS 7314, 23 UST 446"
10712.0,"Inspection of Income, Excess-Profits, Declared-Value Excess-Profits, Capital-Stock, Estate, and Gift Tax Returns by the Senate Committee on the Judiciary","May 17, 1957","Federal Register page and date: 22 FR 3499, May 21, 1957"
10711.0,Restoring Certain Lands Comprising Portions of the Lualualei Military Reservation to the Jurisdiction of the Territory of Hawaii,"May 14, 1957","Federal Register page and date: 22 FR 3433, May 18, 1957
See: EO 2900, July 2, 1918; EO 3070, April 8, 1919"
10710.0,Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Operations of Atomic Energy Facilities,"May 14, 1957","Federal Register page and date: 22 FR 3405, May 15, 1957
Revoked by: EO 12553, February 25, 1986"
10709.0,"Creating an Emergency Board To Investigate a Dispute Between the Toledo, Lorain & Fairport Dock Company, the Toledo Lakefront Dock Company, and the Cleveland Stevedore Company, and Certain of Their","May 9, 1957","Federal Register page and date: 22 FR 3309, May 11, 1957
Revoked by: EO 12553, February 25, 1986"
10708.0,"Further Providing for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","May 6, 1957","Federal Register page and date: 22 FR 3213, May 8, 1957
Amends: EO 10560, September 9, 1954
Superseded by: EO 10900, January
      5, 1961
Revoked by: EO 12220, June 27, 1980
See: EO 10477, August 1, 1953"
10707.0,Establishing a Seal for the United States Coast Guard,"May 6, 1957","Federal Register page and date: 22 FR 3211, May 8, 1957
Amended by: EO 11319, December 9, 1966"
10706.0,"Inspection of Income, Excess-Profits, Declared-Value Excess-Profits, Capital-Stock, Estate, and Gift Tax Returns by the Senate Committee on the Judiciary","April 25, 1957","Federal Register page and date: 22 FR 3027, April 30, 1957"
10705.0,Delegations of Certain Authority of the President Relating to Radio Stations and Communications,"April 17, 1957","Federal Register page and date: 22 FR 2729, April 19, 1957
Amended by: EO 10773, July 1, 1958; EO
      10995, February 16, 1962; EO 11051, September
      27, 1962; EO 11556, September
Revoked by: EO 12046, March 27, 1978
See: EO 10312, December 10, 1951; EO
      10438, March 13, 1953; EO 11725, June
      27, 1973"
10704.0,Change in Membership of the President's Council on Youth Fitness,"March 25, 1957","Federal Register page and date: 22 FR 2005, March 27, 1957
Amends: EO 10673, July 16, 1956
Revoked by: EO 10931, March 29,
      1961
See: EO 10740, November 21, 1957; EO
      10785, October 17, 1958"
10703.0,"Inspection of Income, Excess-Profits, Declared-Value Excess-Profits, Capital-Stock, Estate, and Gift Tax Returns by the Select Committee of the Senate Established by Senate Resolution 74, 85th Congress, To Investigate Improper Activities in Labor-Management Relations, and for Other Purposes","March 17, 1957","Federal Register page and date: 22 FR 1797, March 20, 1957
Amended by: EO 10801, January 21, 1959"
10702.0,Rear Admiral Richard E. Byer,"March 12, 1957","Federal Register page and date: 22 FR 1629, March 14, 1957"
10701.0,"Inspection of Income, Excess-Profits, Declared-Value Excess-Profits, Capital-Stock, Estate, and Gift Tax Returns by the Committee on Un-American Activities, House of Representatives","March 12, 1957","Federal Register page and date: 22 FR 1629, March 14, 1957"
10700.0,Further Providing for the Operations Coordinating Board,"February 25, 1957","Federal Register page and date: 22 FR 1111, February 27, 1957
Amends: EO 10610, May 9, 1955
Supersedes: EO 10483, September
      2, 1953
Amended by: EO 10773, July 1, 1958; EO
      10838, September 16, 1959
Revoked by: EO 10920, February 18,
      1961"
10699.0,"Inspection of Income, Excess-Profits, Declared-Value Excess-Profits, Capital-Stock, Estate, and Gift Tax Returns by the Senate Committee on Government Operations","February 19, 1957","Federal Register page and date: 22 FR 1059, February 21, 1957"
10698.0,"Amendment of   10648, Restoring Certain Portions of the Fort Ruger Military Reservation to the Jurisdiction of the Territory of Hawaii","February 8, 1957","Federal Register page and date: 22 FR 859, February 12, 1957
Amends: EO 10648, December 8, 1955"
10697.0,Tariff of United States Foreign Service Fees,"February 6, 1957","Federal Register page and date: 22 FR 777, February 8, 1957
Revokes: EO 7968, September 3, 1933; EO
      8297, December 4, 1939; EO 9303, February
      11, 1943; EO 9407, December 17, 1943; EO
      9507, December 20, 1944; EO 9591,
      July 21, 1945; EO 9767, August 9, 1946; EO
      10473, July 22, 1953; EO
See: EO 10718, June 27, 1957"
10696.0,"Creating an Emergency Board To Investigate a Dispute Between the Railway Express Agency, Incorporated, and Certain of Its Employees Represented by the International Brotherhood of Teamsters,","January 25, 1957","Federal Register page and date: 22 FR 531, January 29, 1957
Revoked by: EO 12553, February 25, 1986"
10695.2,Radio Frequencies,"January 16, 1957","Federal Register page and date:, Not Published
Amended by: EO 10995, February 16, 1962
Revoked by: EO 11556, September 4, 1970
Note: This Executive Order was not received for Federal Register publication.
      It is a confidential order and is noted here from a reference in EO
      10995, February 16, 1962, and EO 11556,
      September 4, 1970."
10695.0,"Revoking Paragraph 2(b) of   10096 of January 23, 1950, Entitled ""Providing for a Uniform Patent Policy for the Government With Respect to Inventions Made by Government Employees and""","January 16, 1957","Federal Register page and date: 22 FR 365, January 18, 1957
Revokes: EO 10096, January 23, 1950 (in
      part)"
10694.0,"Authorizing the Secretaries of the Army, Navy, and Air Force To Issue Citations in the Name of the President of the United States to Military and Naval Units for Outstanding Performance in Action","January 10, 1957","Federal Register page and date: 22 FR 253, January 12, 1957
Amended by: EO 13286, February 28, 2003
Supersedes: EO 9050, February 6, 1942; EO
      9396, November 22, 1943"
10693.0,Creating an Emergency Board To Investigate Disputes Between the Akron & Barberton Belt Railroad and Other Carriers and Certain of Their Employees,"December 22, 1956","Federal Register page and date: 21 FR 10325, December 27, 1956
Revoked by: EO 12553, February 25, 1986"
10692.0,"Amendment of   9080, To Provide for the Designation of Members of the Joint Mexican-United States Defense Commission by the Secretary of Defense","December 22, 1956","Federal Register page and date: 21 FR 10325, December 27, 1956
Amends: EO 9080, February 27, 1942
See: EO 12377, August 6, 1982; EO 
      13082, May 8, 1998"
10691.0,"Creating an Emergency Board To Investigate a Dispute Between the Spokane, Portland & Seattle Railway Company and Certain of Its Employees Represented by the Brotherhood of Locomotive Engineers","December 5, 1956","Federal Register page and date: 21 FR 9735, December 8, 1956
Revoked by: EO 12553, February 25, 1986"
10690.0,Suspension of Compliance With Certain Statutory Provisions Relating to Employment in the Canal Zone,"November 23, 1956","Federal Register page and date: 21 FR 9199, November 24, 1956"
10689.0,Creating a Board of Inquiry To Report on Certain Labor Disputes Affecting the Maritime Industry of the United States,"November 22, 1956","Federal Register page and date: 21 FR 9161, November 24, 1956
Revoked by: EO 12553, February 25, 1986"
10688.0,Restoring Certain Lands Comprising Portions of the Waianae-Kai Military Reservation to the Jurisdiction of the Territory of Hawaii,"November 16, 1956","Federal Register page and date: 21 FR 9007, November 21, 1956
See: 
      
      EO 2900, July 2, 1918; 
      
      EO 5414, July 31, 1930; 
      
      EO 7010, April 10, 1935; EO 8109, May 3, 
      1939"
10687.0,Suspension of a Portion of Section 5762(a) of Title 10 of the United States Code Relating to the Recommendation of Officers for Promotion to Certain Grades,"November 16, 1956","Federal Register page and date: 21 FR 9007, November 21, 1956"
10686.0,Designating Certain Officers of the Post Office Department To Act as Postmaster General,"November 1, 1956","Federal Register page and date: 21 FR 8479, November 6, 1956
Amends: EO 10154, August 22, 1950
Superseded by: EO 11313, October 15, 1966
See: EO 10558, January 14, 1955"
10685.0,"Providing for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","October 27, 1956","Federal Register page and date: 21 FR 8261, October 30, 1956
Amends: EO 10560, September 9, 1954
Superseded by: EO 10900, January 
      5, 1961
Revoked by: EO 10827, June 25, 1959 (in 
      part); EO 12220, June 27, 1980"
10684.0,Including Certain Lands in the Cherokee National Forest,"October 26, 1956","Federal Register page and date: 21 FR 8254, October 30, 1956
See: EO 10530, section 1(h), for authority 
      for approval of agreement"
10683.0,Including Certain Lands in the Cherokee National Forest,"October 26, 1956","Federal Register page and date: 21 FR 8251, October 30, 1956
See: EO 10530, section 1(h), in reapproval 
      of agreement"
10682.0,"Amendment of Section 2(c) of  10530, Delegating to the Civil Service Commission the Authority of the President To Exempt Certain Employees From Automatic Separation From the Service","October 22, 1956","Federal Register page and date: 21 FR 8129, October 24, 1956
Amends: EO 10530, May 10, 1954
Superseded by: EO 11228, June 14, 1965
See: EO 11378, October 31, 1967"
10681.0,"Amendment of   10152, Prescribing Regulations Relating to Incentive Pay for the Performance of Hazardous Duty","October 22, 1956","Federal Register page and date: 21 FR 8129, October 24, 1956
Amends: EO 10152, August 17, 1950
Revoked by: EO 11157, June 22, 1964"
10680.0,"Designating the International Finance Corporation as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","October 2, 1956","Federal Register page and date: 21 FR 7647, October 5, 1956"
10679.0,Withholding of Compensation of Certain Civilian Employees of the Army National Guard and the Air National Guard for State Employee Retirement System Purposes,"September 20, 1956","Federal Register page and date: 21 FR 7199, September 22, 1956
Superseded by: EO 10996, February 16, 1962"
10678.0,Administration of the Functions of the Rubber Producing Facilities Disposal Commission,"September 20, 1956","Federal Register page and date: 21 FR 7199, September 22, 1956
Amended by: EO 10720, July 11, 1957"
10677.0,"Amendment of  10629, as Amended, To Authorize Enlistments in the Ready Reserve of the Air Force Reserve","September 1, 1956","Federal Register page and date: 21 FR 6625, September 5, 1956
Amends: EO 10629, August 13, 1955"
10676.0,"Designating the World Meteorological Organization as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","September 1, 1956","Federal Register page and date: 21 FR 6625, September 5, 1956"
10675.0,"Amendment of Section 203 of  10577 of November 22, 1954, Providing for the Conversion of Certain Career-Conditional Appointments to Career Appointments","August 21, 1956","Federal Register page and date: 21 FR 6327, August 23, 1956
Amends: EO 10577, November 22, 1954
See: EO 10745, December 12, 1957 (which 
      nullifies EO 10675)."
10674.0,Exempting Certain Officers and Employees in the Executive Branch of the Government From Automatic Separation From the Service,"July 31, 1956","Federal Register page and date: 21 FR 5787, August 3, 1956"
10673.0,Fitness of American Youth,"July 16, 1956","Federal Register page and date: 21 FR 5341, July 18, 1956
Amended by: EO 10704, March 25, 1957; EO 
      10740, November 21, 1957; EO 10772, June 
      30, 1958; EO 10785, October 17, 1958; EO 
      10931, March 29, 1961
Revoked by: EO 11074, January 8, 
      1963"
10672.0,Withholding of District of Columbia Income Taxes by Federal Agencies,"July 9, 1956","Federal Register page and date: 21 FR 5127, July 11, 1956
Revoked by: EO 11968, January 31, 
      1977"
10671.0,Fleet Admiral Ernest J. King,"June 26, 1956","Federal Register page and date: 21 FR 4705, June 28, 1956"
10670.0,Establishing a Flag for the United States Army,"June 12, 1956","Federal Register page and date: 21 FR 4069, June 14, 1956"
10669.0,"Amendment of   10495, Prescribing the Order of Succession of Officers To Act as Secretary of Defense, Secretary of the Army, Secretary of the Navy, and Secretary of the Air Force","May 18, 1956","Federal Register page and date: 21 FR 3335, May 22, 1956
Amends: EO 10495, October 14, 
      1953
Revoked by: EO 10820, May 18, 1959"
10668.0,"Amendment of   2859, of May 11, 1918, Relating to the National Research Council","May 10, 1956","Federal Register page and date: 21 FR 3155, May 12, 1956
Amends: EO 2859, May 11, 1918"
10667.0,"Amendment of   10629, Authorizing Enlistments in the Ready Reserve of the Army Reserve and Marine Corps Reserve, To Authorize Enlistments in the Naval and Coast Guard Reserves","May 9, 1956","Federal Register page and date: 21 FR 3141, May 11, 1956
Amends: EO 10629, August 13, 1955"
10666.0,"Restoring Certain Land at Humuula, North Hilo, Hawaii, to the Possession, Use, and Control of the Territory of Hawaii","April 27, 1956","Federal Register page and date: 21 FR 2801, May 1, 1956"
10665.0,Restoring Certain Lands of the Schofield Barracks Military Reservation to the Jurisdiction of the Territory of Hawaii,"April 23, 1956","Federal Register page and date: 21 FR 2647, April 25, 1956
Amends: EO of July 20, 1899 (unnumbered series); EO 2800, February 4, 1918"
10664.0,Restoring Certain Lands Comprising Portions of the Waianae-Kai Military Reservation to the Jurisdiction of the Territory of Hawaii,"April 2, 1956","Federal Register page and date: 21 FR 2135, April 4, 1956
Amends: EO 8109, May 3, 1939
See: EO 2900, July 2, 1918; EO 5414, July 31, 1930; EO 7010, April 10, 1935"
10663.0,Administration of the Escapee Program,"March 24, 1956","Federal Register page and date: 21 FR 1845, March 27, 1956
Amends: EO 10575, November 6, 1954; EO 
      10610, May 9, 1955
Superseded by: EO 10893, November 8, 1960
See: EO 10822, May 20, 1959"
10662.0,"Amendment of   10480 and Revocation of   10160, Relating to the Administration of the Defense Production Act of 1950","March 13, 1956","Federal Register page and date: 21 FR 1673, March 16, 1956
Amends: EO 10480, August 14, 
      1953
Revokes: EO 10160, September 9, 1950"
10661.0,"Delegating to Certain Officers of the Government the Authority Vested in the President To Designate Persons From Foreign Countries Who May Be Permitted To Receive Instruction at the Military, Naval,","February 27, 1956","Federal Register page and date: 21 FR 1315, February 29, 1956"
10660.0,Providing for the Establishment of a National Defense Executive Reserve,"February 15, 1956","Federal Register page and date: 21 FR 1117, February 18, 1956
Amended by: EO 10773, July 1, 1958; EO 
      11051, September 27, 1962
Superseded by: EO 11179, September 22, 1964"
10659.0,Amending the Selective Service Regulations,"February 15, 1956","Federal Register page and date: 21 FR 1079, February 17, 1956
Amends: EO 9979, July 20, 1948; EO 
      9988, August 20, 1948; EO 10001, September 
      17, 1948; EO 10008, October 18, 1948; EO 
      10116, March 9, 1950; EO 10202, January 
      12, 1951; EO 10258, June 26, 1951; EO 
      10292, September 25, 1951; EO 10344, April 
      17, 1952; EO 10363, June 17, 1952; EO 
      10420, December 17, 1952; EO 10505, 
      December 10, 1953
Amended by: EO 10714, June 13, 1957; EO 
      10735, October 17, 1957; EO 10809, March 
      19, 1959; EO 10984, January 5, 1962; 
      EO 11098, March 14, 1963; EO 
      11188, November 17, 1964; EO 11350, May 
      3, 1967; EO 11360, June 30, 1967; EO 
      11497, November 26, 1969; EO 11527, April 
      23, 1970; EO 11537, June 16, 1970; EO 
      11563, September 26, 1970; EO 11586, March 
      10, 1971
Revoked by: EO 12553, February 25, 1986"
10658.0,"Amendment of   10478 of August 5, 1953, Delegating Certain Authority of the President to the Secretary of Defense","February 15, 1956","Federal Register page and date: 21 FR 1064, February 16, 1956
Amends: EO 10478, August 5, 1953
Revoked by: EO 10762, March 28, 1958"
10657.0,Transferring to the Housing and Home Finance Administrator Certain Functions of the Atomic Energy Commission Under the Atomic Energy Community Act of 1955,"February 14, 1956","Federal Register page and date: 21 FR 1063, February 16, 1956
Amends: EO 9816, December 31, 1946
Amended by: EO 10734, October 17, 1957; 
      EO 11105, April 18, 1963
Revoked by: EO 12553, February 25, 1986"
10656.0,Establishing the President's Board of Consultants on Foreign Intelligence Activities,"February 6, 1956","Federal Register page and date: 21 FR 859, February 8, 1956
Revoked by: EO 10938, May 4, 1961"
10655.0,Air Coordinating Committee,"January 28, 1956","Federal Register page and date: 21 FR 665, January 31, 1956
Supersedes: EO 9781, September 19, 1946; 
      EO 10360, June 11, 1952
Amended by: EO 10754, February 22, 1958; 
      EO 10773, July 1, 1958; EO 
      10796, December 24, 1958
Revoked by: EO 10883, August 11, 1960"
10654.0,Delegating Certain Functions of the President to the Director of the Bureau of the Budget,"January 20, 1956","Federal Register page and date: 21 FR 511, January 24, 1956
Amended by: EO 12608, September 9, 1987
See: EO 10584, December 18, 1954"
10653.0,"Designating the Honorable A. Cecil Snyder To Act, Under Certain Circumstances, as Judge of the United States District Court for the District of Puerto Rico During the Year 1956","January 6, 1956","Federal Register page and date: 21 FR 235, January 12, 1956"
10652.0,"Amendment of Paragraph 126e of the Manual for Courts-Martial, United States, 1951","January 10, 1956","Federal Register page and date: 21 FR 235, January 12, 1956
Amends: EO 10214, February 8, 1951
See: EO 10256, June 23, 1951; EO 
      11430, September 11, 1968"
10651.0,"Providing for the Screening of the Ready Reserve of the Armed Forces Established Under the Provisions of Part II of the Armed Forces Reserve Act of 1952, as Amended","January 6, 1956","Federal Register page and date: 21 FR 169, January 10, 1956
Revoked by: EO 11190, December 29, 1964"
10650.0,Prescribing Regulations Governing the Selection of Certain Persons Who Have Critical Skills for Enlistment in Units of the Ready Reserve of the Armed Forces,"January 6, 1956","Federal Register page and date: 21 FR 167, January 10, 1956
Amended by: EO 10714, June 13, 1957; EO 
      10984, January 5, 1962; EO 11188, November 
      17, 1964
Revoked by: EO 12553, February 25, 1986
See: EO 9979, July 20, 1948
Note: This Executive order relates to the Selective Service System."
10649.0,Amendment of   10153 Prescribing Regulations Relating to Certain Travel Time of Members of the Uniformed Services Called to Active Duty in Excess of Thirty Days,"December 28, 1955","Federal Register page and date: 20 FR 10095, December 30, 1955
Amends: EO 10153, August 17, 1950"
10648.0,Restoring Certain Lands Comprising Portions of the Fort Ruger Military Reservation to the Jurisdiction of the Territory of Hawaii,"December 8, 1955","Federal Register page and date: 20 FR 9287, December 13, 1955
Amended by: EO 10698, February 8, 1957
See: EO 1377, June 26, 1911; EO 6408, November 7, 1933"
